Mã đối tác,Tên đối tác
DT000045,Nhà xe Ninh Bình
DT000456,Trung + Lalamove
DT000484,Trung + Nhất Tín
DT000503,Tỉnh + Công Minh
DT000196,Điện máy chợ lớn
DT000496,Đoan + Công Minh
DT000268,A Bằng + lalamove
DT000386,A Lưu + Huy + NCC
DT000310,A Tuấn + Nhất Tín
DT000261,A Tỉnh + lalamove
DT000582,Anh Giang + Khanh
DT000586,Anh Giang + Trung
DT000554,Anh Phong + Chính
DT000576,Anh Phong + Khanh
DT000475,Anh Phong + Trung
DT000059,Anh Tiệp + Nhà xe
DT000062,Anh Tiệp - sẽ xóa
DT000046,Anh Tuấn + Nhà xe
DT000205,Anh Tú Ship ngoài
DT000483,Chính + Công Minh
DT000048,Chú Thức + Anh Ba
DT000559,Khanh + Công Minh
DT000133,Khách qua kho bốc
DT000518,Khởi + Quang Minh
DT000698,Khởi + Tâm lái xe
DT000522,Khởi + xe tải SGT
DT000004,Lalamove + Anh Ba
DT000137,Lalamove + Anh Tú
DT000128,Lalamove + Nhà xe
DT000234,Lalamove Anh Hưng
DT000043,Lái Xe Trung Xuân
DT000548,Trung + Công Minh
DT000544,Tỉnh + Quang Minh
DT000497,Đoan + Quang Minh
DT000211,A Giang + lalamove
DT000428,A Giang + Nhất Tín
DT000340,a Hưng sale + lala
DT000469,A Lưu + Quang Minh
DT000353,A Phong + Lalamove
DT000371,A Phong + Nhất tín
DT000186,A Tuấn + A Văn Anh
DT000705,Anh Lưu + Nhất Tín
DT000096,Anh Thế Anh ba gác
DT000109,Anh Trung Điều Hòa
DT000039,Anh Tuấn + Anh Đại
DT000504,Chính + Quang Minh
DT000529,Chính + Xe tải SGT
DT000491,Công Minh giao vận
DT000590,Khanh + Quang Minh
DT000605,Khanh + Tâm xe tải
DT000534,Khanh + Xe tải SGT
DT000144,Lalamove + Anh Thọ
DT000037,Lalamove + Anh Đại
DT000309,Lalamove Anh Cường
DT000044,Nguyễn Hoàng BOSCH
DT000610,Quang Minh + Chính
DT000474,Quang Minh + Trung
DT000069,Việt Hải Thanh Oai
DT000600,Đạt kho +  Lalamove
DT000487,Anh Lưu + Công Minh
DT000488,Anh Lưu + Công Minh
DT000061,Anh Tiệp + Đất Việt
DT000058,Anh Tuấn + Anh Tiệp
DT000375,anh Tuấn + Nhất Tín
DT000017,Chú Thức + Anh Tuấn
DT000607,Khanh + Trung + NCC
Lalamove + anh Dũng,Lalamove + anh Dũng
DT000055,Lalamove + Anh Tiệp
DT000016,Lalamove + Anh Tuấn
DT000461,Quang Minh giao vận
DT000523,Tâm Giao Vận xe tải
DT000077,Anh Tiệp + xe ba gác
DT000076,Anh Tuấn + xe ba gác
DT000495,Công Minh + Lalamove
DT000492,Công Minh + Nhất Tín
DT000078,Lalamove + Anh Khánh
DT000093,Lalamove + Anh Khánh
DT000437,Ship Tú - Thuê Ngoài
DT000201,Tú + Khởi + lalamove
DT000318,Đại + Huy + Lalamove
DT000218,A Tú + Đại + lalamove
DT000467,Anh Giang + Công Minh
DT000293,Anh Lưu + Bằng + Khởi
DT000482,Anh Phong + Anh Giang
DT000508,Anh Phong + Công Minh
DT000068,Anh Tiệp + xe cắt nóc
DT000296,Anh Trường + Lalamove
DT000066,Anh Tuấn + xe cắt nóc
DT000276,Bằng + Huy + Lalamove
DT000030,Chú Thức + Anh Trường
DT000298,Huy + Tỉnh + Lalamove
DT000249,Khởi + Huy + lalamove
DT000389,Khởi + Lưu + Lalamove
DT000281,Khởi + Tỉnh + Lalmove
